Review Date,Source,Review Type,Product Name,Reviewer Name,Title,Company Size,Used Product For,Overall Quality,Ease of Use,Customer Support,Features/Functionality,Value for Money,Likelihood to Recommend,Review Title,Comments,Pros,Cons,Advice to Buyers,Reasons for Choosing,Reasons for Switching,Alternatives Considered,Switched From
01/10/2025,Capterra,text,ArcSite,Simon W,Sales Manager,"Sporting goods, 51-200 employees",Less than 12 months,5.0,4.0,5.0,5.0,5.0,9 out of 10,Part time user but I love the results,Really enjoy it and recommend to anyone that needs to draw buildings or spaces as part of their job.,"Makes drawing buildings/room spaces quick and easy once you learn how to use it.
Some great tools that are readily available
Pre-created assets ready to just drop in on plans and make the space come to life",Having never used such software before it took my while to get used to it.  As with most things if you then do not use it for some time you can forget aspects of how it works again.,,,,"",""
01/10/2025,Capterra,text,ArcSite,Abdulkadir O,Head Designer,"Construction, 2-10 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Almost perfect,All over my experience is good. The day I started to use it and today of course there are a lot of upgrades which is good but can be improved maybe on the shapes.,Easy to use and nice interface. And real dimensions works very well,"Sometimes there are bugs like app crashes while using it, which I hate it.",,,,"",""
01/10/2025,Capterra,text,ArcSite,Lawrence F,Estimator Surveyor,"Information technology and services, 1001-5000 employees",More than 2 years,5.0,5.0,5.0,4.0,5.0,10 out of 10,Floor Plan Diagrams detailed mark ups. ,My over all experience is great! I like the ArcSite Link...!,It's easy to use. especially when I have to attach my Floor Plans.,Adding some of the hardware devices at times.,,,,"",""
01/10/2025,Capterra,text,ArcSite,Mike B,Sales consultant,"Consumer services, 51-200 employees",Less than 2 years,5.0,5.0,5.0,5.0,0.0,3 out of 10,Easy to use and professional quality,"Overall, great product and easy to use. Makes everything you do professional and it is very customizable!","Very simple to use, it makes creating our drawings simple and professional.",Sometimes it crashes but you don’t lose everything due to auto saves to the cloud.,,,,"",""
01/10/2025,Capterra,text,ArcSite,Matt N,Certified Structural Technician,"Construction, 51-200 employees",Less than 2 years,5.0,4.0,3.0,4.0,3.0,8 out of 10,Ease of Use,,The functionality with our customer interaction software.,"Changes made without advance notice, would be helpful to have previous communication.",,,,"",""
01/09/2025,Capterra,text,ArcSite,Rory C,CST,"Construction, 51-200 employees",Less than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Amazing and wonderful ,Awesome. Customer share amazed by it   Makes selling easy.,Everything it’s awesome and amazing. Love it.,Nothing  no complaints at all.  Great software,,,,"",""
01/09/2025,Capterra,text,ArcSite,Scott W,Estimator,"Construction, 51-200 employees",Less than 2 years,5.0,5.0,5.0,4.0,4.0,10 out of 10,Draw professionally with your finger. ,"I have been using this program for many years, and it makes my job easier.","I can draw anything with my finger. Shapes, walls, and import drawings and trace.",Missing 3rd axis and Lidar. Saved signature in the app instead of in the cloud or be able to download signed agreement to mobile app with just a click.,,,,"",""
01/09/2025,Capterra,text,ArcSite,Jonathan F,Certified Field Inspector,"Construction, 5001-10000 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Easy to Use and Easy to Read!,Easy to use and very readable for the customer.,Easy to use on my side and very easy to understand for the customer. The layering really gives me room to quickly show differences.,Sometimes you have to zoom in in order to place something.,,,,"",""
01/09/2025,Capterra,text,ArcSite,Joebob C,Operations Lead,"Architecture and planning, 11-50 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,ArcSite Will Not Let You Down,"We have been using ArcSite for years now, and I have the utmost respect for the company, they truly want to help the customer/user be successful. Not to mention our representative at ArcSite makes us a priority and is extremely customer service oriented.","The application and the web version are both user friendly, but what is better, is they are constantly trying to improve the QOL experience for our company, so that we get the most out of our usage.","Not a con, but what I hope happens in a future update is to have additional reporting tools, especially on the web version for admins.",,,,"",""
01/09/2025,Capterra,text,ArcSite,Ben B,CEO,"Architecture and planning, 2-10 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,ArcSite review ,"I'm using ArcSite for 5 years. It's enough for what I need. the support team is exceptional. Every time I had a problem that solved it for me quickly, and therefore, I never thought about changing to a different program.","Simple to use, in every other program, it will take me a year to muster which in this program, I learned pretty fast and now I'm doing almost all my project with this program",The search bar is not working properly. You have to search inside the project folder.,,,,"",""
01/09/2025,Capterra,text,ArcSite,Seth K,President,"Construction, 2-10 employees",Less than 12 months,5.0,5.0,5.0,3.0,4.0,10 out of 10,Lifetime basement ,I like it. It has given me more success.,User friendly once you learn. sell more jobs looking more professional!,Don’t like there is no way to send receipts or invoice type documents. For instance if I’m paid by paper check I have to use a different platform to send receipts. Or invoices.,,,,"",""
01/09/2025,Capterra,text,ArcSite,Nick A,Owner,"Construction, 2-10 employees",Less than 2 years,4.0,5.0,5.0,3.0,3.0,5 out of 10,Review of arcsite,Pretty good for what I use it for which is takeoffs,Excellent for takeoffs and on spot estimating,Lacks integration with crms proposals are lacking its sales board doesn’t work,,,,"",""
01/09/2025,Capterra,text,ArcSite,JASON C,CFI,"Construction, 1001-5000 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,3 out of 10,Best design program ,"Excellent experience, no complaints ever.",Super easy to use and user friendly. Anyone can use.,"Nothing, everything is user friendly! Would recommend",,,,"",""
01/09/2025,Capterra,text,ArcSite,Kyle W,CFI,"Construction, 51-200 employees",Less than 6 months,4.0,4.0,3.0,4.0,4.0,10 out of 10,Thank you. Work in progress for user. ,Great experience. I am still learning functions daily but great overall.,Easy to learn and great options. Layers help a great deal.,Can seem complex when first learning. The pencil I use sometimes causes issues with screen,,,,"",""
01/09/2025,Capterra,text,ArcSite,Shannon M,Certified Field Inspector,"Construction, 5001-10000 employees",Less than 2 years,5.0,5.0,5.0,4.0,5.0,10 out of 10,Very Well worth the investment,"Works well for on the job usage, and great with customers","Very intuitive, works great with iPad and pencil.","No real pain points, just learning all the feature",,,More intuitive with the IPad and Apple Pencil,"",SmartDraw
01/09/2025,Capterra,text,ArcSite,shay o,Processor,"Construction, 51-200 employees",Less than 6 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Great experience,been great so far. I have enjoyed training others. Was easier than expected for the older crowd,"-easy to train
-well labeled
-not very many unnecessary features
-clean design and layout
-very few crashes if any","-Newer ipads run it much better
-a few pop up font sizes should be larger
-bolder 'back' 'undo' or 'confirm' options",,,,"",""
04/07/2021,Capterra,text,ArcSite,Haydn O,Web Developer,"Consumer services, 11-50 employees",Less than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Professional Custom Bids!,"ArcSite has given us the ability to create beautiful, quality, custom bids for the work we do on our customers home that is unparalleled. The amount of professionalism detail in our bids has increased our closing rate. We love arcsite!","ArcSite is very easy to use. We had our inspectors trained on how to use it within one day. The different features and the ease of creating custom, quality, and highly detailed graphs to match our customers home have been amazing. ","All in all we have no real complaints. ArcSite gives us the ability to do just about everything we need to. The only improvement that we would love is to have each project automatically upload to the cloud vs having to send it there yourself, but that is being nitpicky. ",,Within minutes of testing out ArcSite we new we had found exactly what we needed and more. ,,"",""
03/30/2021,Capterra,text,ArcSite,Lisa P,Owner,"Construction, 2-10 employees",More than 2 years,4.0,4.0,4.0,4.0,5.0,9 out of 10,Arcsite pros and cons,"overall I like this program, the mobility aspect is very needed in my business and it creates a professional look for us to be able to send professional shop drawings to clients, as well as, auto cad compatible drawings for commercial projects and the drawings can be done up in just minutes in some cases","My favourite thing about this software is that you can use it on your I-pad- a lot of times I am using this software to do up a ""shop drawing"" right on site or pull up the drawing in the shop so the fact that I can be mobile is very important in my business. The app itself is fairly simple to use for the average person and great to be able to do up a drawing in auto cad so simply.","I don't like that; if you have a closed shape (square, hexagon, rectangle, etc) and you modify one side- it can change multiple other lines or every line, so you have to be very careful to double check each line after changing one. I also dont like the ""angles"" portion- it is very difficult to put in a drawing with a rounded ended object- you have to re-draw multiple times to get it right. Also for particular angles- it can be tricky to get 2 identical, opposite angles ",,I tried out multiple products at the same time and this one was by far my favourite. Some of the other programs were very hard to work and the auto cad version did not open up when sent to our clients (who had proper auto cad computer set up). Most versions were not compatible with I-pad and the archaic way you had to be stuck at a stationary computer didn't work at all for my business so ArcSite was an obvious winner,,DWG FastView Plus,""
01/28/2021,Capterra,text,ArcSite,Markus C,Manager,"Architecture and planning, 2-10 employees",More than 2 years,5.0,4.0,5.0,4.0,0.0,7 out of 10,User experience of arcsite,Good experience for changing to paperless and can file all draft drawing in computer for easy review.,I like most is to take photos as annotation in the drawing so that I can easily relate the photos to the photo location.,"1) Not all photos in arcsite can be found in ipad Photo app.
2) No slide bar for scale up and scale up the drawing. I wear gloves so that I need to remove the glove when I need to change the drawing scale. ",,,,"",""
11/12/2020,Capterra,text,ArcSite,Dame O,Manager,"Environmental services, 51-200 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Review,"Great app. The best option in my opinion if you work in environmental, construction or engineering work.

Thumbs up",I love how easy it is to make a simple floor plan. Also the ability to display exact measurements and dimensions. Super helpful when needing something on the spot when talking with clients or coming up with a project scope.,"No dislikes at the moment. Any problems I have, the support team has been very responsive.",,,,"",""
10/19/2020,Capterra,text,ArcSite,Brian G,Owner,"Construction, 1 employee",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Best thing since sliced bread,"I was a hard sell to select this software.  We spoke on the phone several times before I signed up.  After I signed up I spoke to the support team several times to get ArcSite dialed in for my use.  It has been fun to seen many of my requests and recommendations being implemented.  

ArcSite has been amazing.  I have not only used it for my consulting business, but also to design a set for Frozen Jr., designed a display platform for the Lego Hogwarts castle, and am currently creating a detailed map of a friends property.","1, Ease and speed of functionality. I instantly reduced my work time on a job site from 90 minutes to 15 minutes.
2, Ever increasing functionality.  In the last 9 months the improvements, small and large, have been numerous and practical.
3, Adaptability.  My usage is for an area ArcSite never anticipated.  This has not created any issues, In fact it has allowed me to create a distinct, practical and fun platform.","The only ""complaint"" I have is the inability to create a custom line type beyond the established solid and dashed lines.",,,,"",""
10/12/2020,Capterra,text,ArcSite,Jerrica G,Planner,"Architecture and planning, 2-10 employees",Less than 12 months,4.0,4.0,4.0,2.0,2.0,5 out of 10,Quick to Pickup ,"While I would recommend ArcSite for someone in construction to try, I don't know if it is the best tool for planners and I'm not sure if I would renew my subscription. The customer service I have experienced has been great and the software works great on my tablet with no crashes, so definitely check it out if you're interested.  ","I've primarily been using ArcSite for parcel site plans and some smaller personal projects. I don't believe I am using it for what it was primarily designed for, but it has been a useful visual tool for a few cases that saved time compared to drawing by hand. ",I don't like how the layer feature is part of the upgraded package. I feel like the software would be much easier to use with it available and I would be able to justify the price tag better. ,,,,"",""
10/06/2020,Capterra,text,ArcSite,Shane S,teacher,"Performing arts, 501-1000 employees",Less than 2 years,5.0,5.0,5.0,5.0,3.0,8 out of 10,great iPad drawing app,Awesome app with great support,very easy to create simple shapes and templates,It was too expensive and i couldn't get my employer to pay the subscription,,,,"",""
10/06/2020,Capterra,text,ArcSite,Davit M,Architectural Designer,"Architecture and planning, 2-10 employees",Less than 12 months,4.0,4.0,0.0,4.0,0.0,8 out of 10,Window and door detailed properties,Please read the Cons section for the idea that would definitely improve the experience with the software.,The best part is to export it to DWG and have everything in high quality.,"Can't give any properties to the window and door sizes besides the width. It would be nice to have a window pop up after the placement of the door or window to put in the width, height, and sill height. And after it is done to show near the window or the door",,,,"",""
10/05/2020,Capterra,text,ArcSite,hans k,Designer,"Architecture and planning, 2-10 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Easy to Scale Blueprints,,"Finally, an easy way to sketch to scale on existing CAD drawings on my iPad ",I wish there were additional free sketch tools...additional brushes,,,,"",""
10/05/2020,Capterra,text,ArcSite,Bradford A,President,"Architecture and planning, 1 employee",Less than 6 months,4.0,4.0,5.0,4.0,3.0,9 out of 10,ArcSite is one of the best iPad drafting packages available,"ArcSite has been a wonderful tool for me while performing site visits dealing with renovations and in doing structural evaluations that require a lot of photo documentation.  It has become one of my primary note taking tools while in the field and with a few improvements, it has the potential to become the only note taking tool I would need.","The ability to take a picture, comment on the picture, place it on the drawing at the location, and then generate an indexed photo contact sheet linked to the floor plan drawing sold me on the utility of this for doing structural evaluation reports.  This has saved me a lot of time back in the office when compiling reports.  The drawing functions are also some of the best implemented of any iPad app I've used and has allowed to actually prepare a usable CAD file in the field.","The drawing of items itself can be a little finicky, especially when you are just starting out.  Sometimes when you adjust a dimension of a wall, it does not behave as expected.  You have to pay attention to the dimensions around the wall in question to make sure they don't change in an unexpected way.  Also, placing predefined blocks in the drawing can be challenging if you need them to snap to a specific point.  It's also a little pricey (equal to an AutoCAD LT subscription), but if you do a lot of field work, it does pay for itself.  ",,"There really wasn't a good alternative to ArcSite.  I had evaluated many drafting programs for iPad over the years and in my opinion, nothing came close to matching ArcSite in features or ease of use.","The Magic Plan interface was not as easy to use.  Additionally, their pricing model changed with no warning, locking me out of projects that I had completed unless I upgraded my plan. ","",""
10/05/2020,Capterra,text,ArcSite,Kenny D,President,"Construction, 51-200 employees",Less than 2 years,4.0,5.0,5.0,4.0,5.0,10 out of 10,Great app for our use,,"Very easy to learn and customize for different industries.  Drawing up and laying out foundation repair plans is quick and easy now. We can do it onsite in real time and our managers can actually review and approve repair plans remotely while our estimators are at site locations.  

Arcsite has dramatically increased our accuracy on estimating projects.   Being able to review proposals while estimators are onsite has reduced our repeat visits to provide estimates.  This has definitely saved money and increased efficiency for us. ",It would be nice to have direct access to the data in the database fields to creat custom reports.  The app is getting better and this may hopefully be available in the future. ,,,Other product was limited on customizing for our specific needs. ,"",""
10/05/2020,Capterra,text,ArcSite,Dennis P,Owner,"Architecture and planning, 1 employee",More than 2 years,4.0,4.0,5.0,4.0,4.0,4 out of 10,Hobbyist review,My budget for design software is small and mainly for hobby use so if for instance Fusion 360 was available for iPad I would cancel all other software. ,Ease of doing simple sketches.  Ability to do sketching in unique ways.,Lack of features for more complicated drawings.  I like to do designs on my iPad but am getting into 3D more so I have to use other programs.  ,,Easy of use. ,,"",""
10/02/2020,Capterra,text,ArcSite,Chris R,Owner,"Construction, 2-10 employees",Less than 2 years,4.0,3.0,5.0,3.0,4.0,8 out of 10,ArcSite for basic drawing,It makes converting rough sketches into presentable drawings much faster.,"Bluetooth connection to Leica measuring devices, auto cut when inserting features or adding walls, mobile and easy to set up.","No desktop version, limited export options, inconsistent and limited dimensioning, and not easy to get area measurements. Higher levels are a bit expensive.",,,Much cheaper for drawings.,"",""
10/02/2020,Capterra,text,ArcSite,Michael H,Field technician/sales,"Construction, 2-10 employees",Less than 6 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Ease of use,I’m very happy with it,I like that if I make a mistake on the pier plan it is easy to delete vs hand writing my bids,It works well for my application. I can’t think of any ,,,,"",""
10/01/2020,Capterra,text,ArcSite,Bart T,Consulting Engineer,"Utilities, 5001-10000 employees",Less than 2 years,4.0,4.0,4.0,3.0,4.0,8 out of 10,ArcSite Use for Natural Gas Pipeline Industry,It provides a lot of value for making markups and drawing changes on the fly.,"It's fairly easy to use for simple drawings, being able to scale pdf drawings for taking measurements and making markups is very useful","The snaps can be cumbersome at times, especially when trying to snap to midpoints.  It also tends to lag pretty badly when drawings become complex.  It is also very difficult to draw an accurate ellipse, which is something I really need to be able to do.",,,,"",""
10/01/2020,Capterra,text,ArcSite,Innis H,Carpenter,"Construction, 2-10 employees",More than 2 years,5.0,5.0,5.0,4.0,5.0,10 out of 10,Simple but effective ,,The ease to sketch plans to communicate my design ideas with architects and engineers in my industry. ,Occasionally the software will assume something and change what I have drawn when I don’t want it to. ,,,,"",""
10/01/2020,Capterra,text,ArcSite,Ron G,Designer,"Commercial real estate, 2-10 employees",Less than 6 months,5.0,5.0,0.0,4.0,5.0,8 out of 10,Easy to use basic cad package,Ideal package for producing basic proposals.,Simple and accurate. Good range of features. Easy to export drawings.,I haven't found any particular difficulties.,,,,"",""
10/01/2020,Capterra,text,ArcSite,Matthew F,Appraiser,"Real estate, 2-10 employees",Less than 6 months,5.0,5.0,5.0,5.0,3.0,7 out of 10,Excellent drawing software for floorplans and building sketches.,"I enjoyed using the software, and I would love to continue using it. However, the costs were a hurdle that made it hard to justify compared to other sketching software. ",I really enjoyed using this software on the iPad and drawing building sketches in the field. The ability to change dimensions and have the software automatically adjust other walls at the same time was great.  The software was intuitive and easy to use. ,"To be honest, the things I didn't like at first were addressed in updates after I sent feedback to support. The cost of the software for what I use it for is still a big hurdle. It is pricey. I don't know if there is an option for an appraiser level package, but I would consider a hybrid package that offers the basic basic package plus a couple of extras for like $15 (annual billing level). I would like the ability to sketch on pdf and would need to access the drawings from my pc. I don't need everything that the Draw+ package offers, but I need a few more options than what is offered in the basic package. The jump from the basic to the plus package makes it infeasible for my firm to consider.  Currently, we use Apex Sketch for our work, and it is a stand alone license that makes the cost much more feasible.  ",,I liked the interface and the ability to use the software in the field on our iPad. The cost of the software made it infeasible compared to other products.,Intuitive interface and usability.,"",""
10/01/2020,Capterra,text,ArcSite,Megan B,Landscape Designer,"Architecture and planning, 11-50 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,9 out of 10,Great!,Great software! Will be eager to continue to use it and be more productive while on-site.,I like how easy it is to use and implement into our CAD software. I need to use it more often than I do. We have it on an iPad and sometimes that hinders abilities depending on what stylus I have handy. I do like the time it can save being able to complete base plans or designs right on-site. We use it for landscaping designs.,"There isn't anything I can think of, at this time.",,,,"",""
